군별,dummy,birth_rate,cultural_center,social_welfare,active_firms,pop,urban_park,doctors,tris,kindergarten
경남 진주시,1.000,1.290,4.940,7.350,82.190,346739,30.430,3.110,12.084,1.500
경남 통영시,1.000,1.484,9.340,10.040,78.170,138160,34.950,1.810,10.423,2.171
경남 사천시,1.000,1.518,6.060,15.450,81.900,114912,23.370,1.800,18.797,1.827
경남 김해시,1.000,1.495,3.970,5.500,79.720,529422,23.460,1.720,20.097,1.643
경남 밀양시,1.000,1.268,8.340,18.560,82.760,108354,17.840,1.720,13.290,2.492
경남 거제시,1.000,1.911,5.080,4.430,60.260,257183,33.780,1.530,4.044,2.216
경남 양산시,1.000,1.504,3.650,9.230,72.670,317037,19.930,3.260,18.736,1.861
경기 연천군,0.000,1.729,10.930,37.480,79.930,45907,25.960,1.530,29.189,3.050
경기 가평군,0.000,1.270,20.970,29.410,102.510,62448,18.310,2.140,15.213,2.562
경기 양평군,0.000,1.180,17.540,34.160,67.490,111367,9.070,1.610,8.530,2.335
강원 홍천군,0.000,1.479,8.530,49.680,83.770,70076,17.640,1.910,22.547,3.568
강원 횡성군,0.000,1.214,13.110,50.690,82.210,45991,5.650,1.270,17.830,2.827
강원 영월군,0.000,1.092,69.620,27.370,92.460,40073,29.200,1.640,17.219,3.743
강원 평창군,0.000,1.120,16.090,29.780,103.710,43318,31.840,1.360,17.314,3.924
강원 정선군,0.000,1.097,20.410,25.360,97.350,38718,49.880,1.200,19.371,3.874
강원 철원군,0.000,1.724,14.340,14.710,75.920,48013,27.430,1.230,22.910,2.708
강원 화천군,0.000,1.926,22.210,40.530,73.060,26264,29.500,1.370,26.652,5.330
강원 양구군,0.000,1.748,37.360,29.300,75.350,24010,28.810,1.910,21.241,3.748
강원 인제군,0.000,2.161,33.080,15.400,99.460,32720,34.890,1.320,25.672,5.196
강원 고성군,0.000,1.264,43.250,19.820,88.010,30114,21.900,0.830,23.577,3.653
강원 양양군,0.000,1.224,14.560,29.070,130.920,27218,9.100,1.060,24.249,5.511
충북 보은군,0.000,1.536,14.580,20.440,80.490,34221,31.730,1.950,17.825,4.675
충북 옥천군,0.000,1.254,11.450,38.120,76.520,52267,14.780,1.980,18.367,3.253
충북 영동군,0.000,1.210,17.750,47.240,69.390,50552,28.100,1.810,12.660,3.165
충북 진천군,0.000,1.620,11.770,29.150,89.450,69950,27.360,1.650,52.466,2.430
충북 괴산군,0.000,0.980,15.470,39.110,73.790,38973,20.030,1.600,33.613,4.105
충북 음성군,0.000,1.517,9.340,32.520,86.810,97787,20.430,1.590,52.665,2.557
충북 단양군,0.000,1.226,26.010,38.770,98.390,30503,27.710,1.140,22.949,4.590
충북 증평군,0.000,1.832,16.360,31.640,74.600,37308,19.320,1.360,19.567,1.340
충남 금산군,0.000,1.290,23.690,48.940,97.450,54612,23.790,2.000,46.693,3.113
