cities,birth_rate,ad_layer,ID
부산 영도구,0.899,자치구,186
부산 부산진구,1.079,자치구,187
부산 동래구,1.026,자치구,188
부산 남구,1.049,자치구,189
부산 북구,1.209,자치구,190
부산 해운대구,1.081,자치구,191
부산 사하구,1.199,자치구,192
부산 금정구,1.009,자치구,193
부산 강서구,1.982,자치구,194
부산 연제구,1.075,자치구,195
부산 수영구,1.045,자치구,196
부산 사상구,1.241,자치구,197
대구 중구,1.157,자치구,198
대구 동구,1.322,자치구,199
대구 서구,0.985,자치구,200
대구 남구,0.934,자치구,201
대구 북구,1.349,자치구,202
대구 수성구,1.013,자치구,203
대구 달서구,1.260,자치구,204
인천 중구,1.299,자치구,205
인천 동구,1.325,자치구,206
인천 남구,1.124,자치구,207
인천 연수구,1.215,자치구,208
인천 남동구,1.240,자치구,209
인천 부평구,1.177,자치구,210
인천 계양구,1.126,자치구,211
인천 서구,1.350,자치구,212
광주 동구,1.072,자치구,213
광주 서구,1.030,자치구,214
광주 남구,1.089,자치구,215
광주 북구,1.235,자치구,216
광주 광산구,1.427,자치구,217
대전 동구,1.258,자치구,218
대전 중구,1.165,자치구,219
대전 서구,1.223,자치구,220
대전 유성구,1.463,자치구,221
대전 대덕구,1.216,자치구,222
울산 중구,1.327,자치구,223
울산 남구,1.356,자치구,224
울산 동구,1.599,자치구,225
울산 북구,1.695,자치구,226
